,Age,Cabin,Fare,Pclass,Survived,Embarked_0,Embarked_1,Embarked_2,Sex_0,Sex_1,Title_0,Title_1,Title_2,Title_3,Title_4,Title_5,Name_length,Fare_0,Fare_1,Fare_2,Fare_3,Fare_4,Pclass_0,Pclass_1,Pclass_2,Pclass_3,Pclass_4,Pclass_5,Family_Size,Family_Size_Category_0,Family_Size_Category_1,Family_Size_Category_2,Ticket_Letter
0,-0.6103597630417603,0,-0.5541770873201172,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.4346722310760017,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0
1,0.632036617601479,1,1.5418688106468892,1,1,0,1,0,0,1,0,1,0,0,0,0,2.5118057813888788,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,1
2,-0.2997606678809505,0,-0.5043444435277441,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.5399035886640332,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,2
3,0.39908729623087164,1,0.8706673944469947,1,1,1,0,0,0,1,0,1,0,0,0,0,1.7751862782726588,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,3
4,0.39908729623087164,0,-0.4951161761587861,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.3294408734879703,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,3
5,-0.0063984736098742605,0,-0.4649729636248218,0,0,0,0,1,1,0,1,0,0,0,0,0,-1.171291734192222,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,3
6,1.8744329982447183,1,0.8249874709706526,1,0,1,0,0,1,0,1,0,0,0,0,0,-0.4346722310760017,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,3
7,-2.1633552388458095,0,-0.778239419038417,0,0,1,0,0,1,0,0,0,0,1,0,0,0.30194727204021843,0,0,0,0,1,0,0,0,0,0,1,5,1,0,0,3
8,-0.22211089409074805,0,-0.8154404104561603,0,1,1,0,0,0,1,0,1,0,0,0,0,2.3013430662128163,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,3
9,-1.23155795336338,0,0.0205889348741663,2,1,0,1,0,0,1,0,1,0,0,0,0,0.8281040599803757,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,3
10,-2.0080556912654046,1,-0.6784510878887513,0,1,1,0,0,0,1,0,0,1,0,0,0,0.4071786296282499,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,4
11,2.1850320934055283,1,0.8706673944469947,1,1,1,0,0,0,1,0,0,1,0,0,0,-0.3294408734879703,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,3
12,-0.7656593106221652,0,-0.4951161761587861,0,0,1,0,0,1,0,1,0,0,0,0,0,0.30194727204021843,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,5
13,0.7096863913916814,0,-0.7595719524749247,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.013746800723875921,0,0,0,0,1,0,0,0,0,0,1,7,1,0,0,3
14,-1.23155795336338,0,-0.5095713341655219,0,0,1,0,0,0,1,0,0,1,0,0,0,0.9333354175684072,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3
15,1.9520827720349208,0,0.09180162850694129,2,1,1,0,0,0,1,0,1,0,0,0,0,0.5124099872162814,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,3
16,-2.1633552388458095,0,-0.7310522118918118,0,0,0,0,1,1,0,0,0,0,1,0,0,-0.7503663038400961,0,0,0,0,1,0,0,0,0,0,1,6,1,0,0,3
17,-0.0063984736098742605,0,-0.1296767883480502,2,1,1,0,0,1,0,1,0,0,0,0,0,0.09148455686415553,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,3
18,0.08848820107006178,0,-0.4249813441547055,0,0,1,0,0,0,1,0,1,0,0,0,0,2.9327312117410047,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,3
19,-0.0063984736098742605,0,-0.5560227407939088,0,1,0,1,0,0,1,0,1,0,0,0,0,-0.4346722310760017,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,3
20,0.39908729623087164,0,-0.1296767883480502,2,0,1,0,0,1,0,1,0,0,0,0,0,-0.7503663038400961,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,3
21,0.32143752244066914,1,-0.1296767883480502,2,1,1,0,0,1,0,1,0,0,0,0,0,-0.6451349462520647,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,3
22,-1.1539081795731776,0,-0.4966517598489808,0,1,0,0,1,0,1,0,0,1,0,0,0,-0.013746800723875921,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,3
23,-0.1444611203005456,1,1.5314113380643861,1,1,1,0,0,1,0,1,0,0,0,0,0,0.09148455686415553,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,3
